Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2019-04-22 12-AM,ETHUSD,170.13,170.13,170.13,170.13,0.0,0.0
2019-04-21 11-PM,ETHUSD,169.98,170.53,169.41,170.13,212.88,36130.63
2019-04-21 10-PM,ETHUSD,169.21,170.61,168.94,169.98,434.65,73990.18
2019-04-21 09-PM,ETHUSD,168.67,169.36,168.18,169.21,81.84,13784.52
2019-04-21 08-PM,ETHUSD,168.32,168.92,168.32,168.67,36.99,6237.66
2019-04-21 07-PM,ETHUSD,167.69,168.5,167.69,168.32,70.17,11803.0
2019-04-21 06-PM,ETHUSD,168.66,168.72,167.15,167.69,607.28,101990.32
2019-04-21 05-PM,ETHUSD,168.56,168.84,168.2,168.66,111.68,18820.61
2019-04-21 04-PM,ETHUSD,169.34,169.63,168.56,168.56,118.39,19993.69
2019-04-21 03-PM,ETHUSD,168.74,169.7,168.44,169.34,171.19,28905.78
2019-04-21 02-PM,ETHUSD,169.4,169.4,168.01,168.74,517.29,87098.27
2019-04-21 01-PM,ETHUSD,167.95,169.4,167.95,169.4,68.47,11571.88
2019-04-21 12-PM,ETHUSD,168.15,168.45,166.29,167.95,356.67,59583.1
2019-04-21 11-AM,ETHUSD,169,169,168.15,168.15,79.16,13343.99
2019-04-21 10-AM,ETHUSD,168.36,169.77,167.63,169,820.51,138500.3
2019-04-21 09-AM,ETHUSD,170.94,171.04,168.1,168.36,1273.51,215738.51
2019-04-21 08-AM,ETHUSD,172.25,172.25,168.73,170.94,650.84,110638.67
2019-04-21 07-AM,ETHUSD,173.3,173.41,172.11,172.25,81.56,14122.04
2019-04-21 06-AM,ETHUSD,172.64,173.3,172.05,173.3,85.82,14813.79
2019-04-21 05-AM,ETHUSD,173.41,173.41,172.38,172.64,72.43,12505.95
2019-04-21 04-AM,ETHUSD,173.84,173.99,173.41,173.41,331.82,57588.06
2019-04-21 03-AM,ETHUSD,173.79,174.07,173.67,173.84,372.82,64784.06
2019-04-21 02-AM,ETHUSD,173.73,174.04,173.51,173.79,338.09,58759.0
2019-04-21 01-AM,ETHUSD,174.12,174.12,173.58,173.73,745.81,129771.84
2019-04-21 12-AM,ETHUSD,173.89,174.48,173.6,174.12,767.27,133640.91
2019-04-20 11-PM,ETHUSD,172.73,173.89,172.66,173.89,18.32,3176.02
2019-04-20 10-PM,ETHUSD,171.12,172.91,171.12,172.73,37.88,6533.97
2019-04-20 09-PM,ETHUSD,173,173.09,171,171.12,520.83,89779.03
