YEAR,CERT,BRNUM,UNINUMBR,NAMEFULL,ADDRESBR,CITYBR,CNTYNAMB,STALPBR,ZIPBR,BRCENM,CONSOLD,BRSERTYP,DEPSUMBR,BKMO,CBSA_DIV_NAMB,CITY2BR,CNTRYNAB,CNTYNUMB,CSABR,CSANAMBR,DIVISIONB,MSABR,MSANAMB,METROBR,MICROBR,NAMEBR,NECTABR,NECNAMB,PLACENUM,SIMS_ACQUIRED_DATE,SIMS_ESTABLISHED_DATE,SIMS_LATITUDE,SIMS_LONGITUDE,SIMS_DESCRIPTION,SIMS_PROJECTION,STCNTYBR,STNAMEBR,STNUMBR,HCTMULT,RSSDHCR,NAMEHCR,CITYHCR,STALPHCR,RSSDID,UNIT,ADDRESS,CITY,STALP,ZIP,ASSET,BKCLASS,CALL,CHARTER,CHRTAGNN,CHRTAGNT,CLCODE,CNTRYNA,DENOVO,DEPDOM,DEPSUM,DOCKET,ESCROW,FDICDBS,FDICNAME,FED,FEDNAME,INSAGNT1,INSURED,INSBRDD,INSBRTS,OCCDIST,OCCNAME,REGAGNT,SPECGRP,SPECDESC,STCNTY,STNAME,USA
2017,00014,0,000006,State Street Bank and Trust Company,1 Lincoln St. Fl 1,Boston,Suffolk,MA,02111,M,,11,"79,114,517",1,"Boston, MA",Boston,United States,25,148,"Boston-Worcester-Providence, MA-RI-NH-CT",14454,14460,"Boston-Cambridge-Newton, MA-NH",1,0,State Street Bank And Trust Company,0,,00000,,01/01/1792,42.352600,-71.057900,M,100,25025,Massachusetts,25,MULT,1111435,STATE STREET CORPORATION,BOSTON,MA,35301,1,1 Lincoln St. Fl 1,Boston,MA,02111,"234,888,953",SM,CALL,STATE,State Agency,STATE,13,United States,0,"79,114,517","79,114,517",14278,,2,New York,1,Boston,DIF,CB,,,1,Northeast District,FED,00001,INTERNATIONAL,25025,Massachusetts,1
2017,00035,0,000017,AuburnBank,100 North Gay Street,Auburn,Lee,AL,36830,M,,11,"449,888",1,,Auburn,United States,81,194,"Columbus-Auburn-Opelika, GA-AL",0,12220,"Auburn-Opelika, AL",1,0,Auburnbank,0,,00000,,01/03/1907,,,,,01081,Alabama,1,ONE,1129533,"AUBURN NATIONAL BANCORPORATION, INC.",AUBURN,AL,749635,0,100 North Gay Street,Auburn,AL,36830,"836,971",SM,CALL,STATE,State Agency,STATE,13,United States,0,"744,528","744,528",9177,,5,Atlanta,6,Atlanta,DIF,CB,,,5,Southwest District,FED,00004,COMMERCIAL LENDING,01081,Alabama,1
2017,00035,13,531906,AuburnBank,132 Fob James Drive,Valley,Chambers,AL,36854,,,11,"36,301",0,,Valley,United States,17,194,"Columbus-Auburn-Opelika, GA-AL",0,0,,0,1,Valley Branch,0,,00000,,12/12/2011,32.815400,-85.178900,M,100,01017,Alabama,1,ONE,1129533,"AUBURN NATIONAL BANCORPORATION, INC.",AUBURN,AL,749635,0,100 North Gay Street,Auburn,AL,36830,"836,971",SM,CALL,STATE,State Agency,STATE,13,United States,0,"744,528",0,9177,,5,Atlanta,6,Atlanta,DIF,CB,,,5,Southwest District,FED,00004,COMMERCIAL LENDING,01081,Alabama,1
2017,00035,7,361391,AuburnBank,1351 S. Donahue Drive,Auburn,Lee,AL,36830,,,11,"14,071",0,,Auburn,United States,81,194,"Columbus-Auburn-Opelika, GA-AL",0,12220,"Auburn-Opelika, AL",1,0,South Donahue Branch,0,,00000,,09/20/2000,32.631400,-85.498000,STREETADDRESS,92.43,01081,Alabama,1,ONE,1129533,"AUBURN NATIONAL BANCORPORATION, INC.",AUBURN,AL,749635,0,100 North Gay Street,Auburn,AL,36830,"836,971",SM,CALL,STATE,State Agency,STATE,13,United States,0,"744,528",0,9177,,5,Atlanta,6,Atlanta,DIF,CB,,,5,Southwest District,FED,00004,COMMERCIAL LENDING,01081,Alabama,1
2017,00035,3,180886,AuburnBank,215 South 6th Street,Opelika,Lee,AL,36801,,,11,"107,352",0,,Opelika,United States,81,194,"Columbus-Auburn-Opelika, GA-AL",0,12220,"Auburn-Opelika, AL",1,0,Opelika Branch,0,,00000,,05/24/1991,32.649000,-85.375700,M,US_Streets,01081,Alabama,1,ONE,1129533,"AUBURN NATIONAL BANCORPORATION, INC.",AUBURN,AL,749635,0,100 North Gay Street,Auburn,AL,36830,"836,971",SM,CALL,STATE,State Agency,STATE,13,United States,0,"744,528",0,9177,,5,Atlanta,6,Atlanta,DIF,CB,,,5,Southwest District,FED,00004,COMMERCIAL LENDING,01081,Alabama,1
2017,00035,12,493224,AuburnBank,2315 Bentcreek Road,Auburn,Lee,AL,36830,,,11,"54,672",0,,Auburn,United States,81,194,"Columbus-Auburn-Opelika, GA-AL",0,12220,"Auburn-Opelika, AL",1,0,Bentcreek Branch,0,,00000,,03/01/2009,32.597100,-85.417600,M,US_Streets,01081,Alabama,1,ONE,1129533,"AUBURN NATIONAL BANCORPORATION, INC.",AUBURN,AL,749635,0,100 North Gay Street,Auburn,AL,36830,"836,971",SM,CALL,STATE,State Agency,STATE,13,United States,0,"744,528",0,9177,,5,Atlanta,6,Atlanta,DIF,CB,,,5,Southwest District,FED,00004,COMMERCIAL LENDING,01081,Alabama,1
2017,00035,10,478897,AuburnBank,2450 Enterprise Drive,Opelika,Lee,AL,36802,,,12,"12,427",0,,Opelika,United States,81,194,"Columbus-Auburn-Opelika, GA-AL",0,12220,"Auburn-Opelika, AL",1,0,Tigertown Kroger Branch - Opelika Branch,0,,00000,,07/12/2007,32.644300,-85.373200,M,US_Zipcode,01081,Alabama,1,ONE,1129533,"AUBURN NATIONAL BANCORPORATION, INC.",AUBURN,AL,749635,0,100 North Gay Street,Auburn,AL,36830,"836,971",SM,CALL,STATE,State Agency,STATE,13,United States,0,"744,528",0,9177,,5,Atlanta,6,Atlanta,DIF,CB,,,5,Southwest District,FED,00004,COMMERCIAL LENDING,01081,Alabama,1
2017,00035,2,180885,AuburnBank,819 East Glenn Ave Suite 110,Auburn,Lee,AL,36830,,,12,"56,080",0,,Auburn,United States,81,194,"Columbus-Auburn-Opelika, GA-AL",0,12220,"Auburn-Opelika, AL",1,0,The Corner Village,0,,00000,,08/22/1988,32.609000,-85.464400,StreetAddress,100,01081,Alabama,1,ONE,1129533,"AUBURN NATIONAL BANCORPORATION, INC.",AUBURN,AL,749635,0,100 North Gay Street,Auburn,AL,36830,"836,971",SM,CALL,STATE,State Agency,STATE,13,United States,0,"744,528",0,9177,,5,Atlanta,6,Atlanta,DIF,CB,,,5,Southwest District,FED,00004,COMMERCIAL LENDING,01081,Alabama,1
2017,00035,8,364622,AuburnBank,950 Auburn Rd.,Notasulga,Macon,AL,36866,,,11,"13,737",0,,Notasulga,United States,87,0,,0,0,,0,0,Notasulga Branch,0,,00000,,08/09/2001,32.595300,-85.635800,M,US_Streets,01087,Alabama,1,ONE,1129533,"AUBURN NATIONAL BANCORPORATION, INC.",AUBURN,AL,749635,0,100 North Gay Street,Auburn,AL,36830,"836,971",SM,CALL,STATE,State Agency,STATE,13,United States,0,"744,528",0,9177,,5,Atlanta,6,Atlanta,DIF,CB,,,5,Southwest District,FED,00004,COMMERCIAL LENDING,01081,Alabama,1
2017,00039,2,180895,Robertson Banking Company,1206 Highway 80 West,Demopolis,Marengo,AL,36732,,,11,"22,232",0,,Demopolis,United States,91,0,,0,0,,0,0,Westside Branch,0,,00000,,11/21/1994,32.494400,-87.853000,M,US_Streets,01091,Alabama,1,ONE,2526755,"RBC, INC.",DEMOPOLIS,AL,430036,0,216 North Walnut Avenue,Demopolis,AL,36732,"279,400",NM,CALL,STATE,State Agency,STATE,21,United States,0,"238,604",0,14095,,5,Atlanta,6,Atlanta,DIF,CB,,,5,Southwest District,FDIC,00004,COMMERCIAL LENDING,01091,Alabama,1
